date,region,precipitation,temperature
2024-12-01,Kitzbuehl,5.217471859425906,-8.267983567646432
2024-12-01,Saalbach,0.0011940578102542787,-6.657648568024614
2024-12-01,Hochkar,10.27228469626029,4.932378213358872
2024-12-01,Obertauern,10.29956027440257,-1.3623630985201771
2024-12-02,Kitzbuehl,4.009885936219555,-9.032570605267214
2024-12-02,Saalbach,8.710926472036885,-2.2354240616029504
2024-12-02,Hochkar,18.999495667492393,-9.892920211979918
2024-12-02,Obertauern,7.718038479289014,-3.337301287457805
2024-12-03,Kitzbuehl,5.806209388945939,-6.687854844043075
2024-12-03,Saalbach,7.321133195402554,-7.615319080959107
2024-12-03,Hochkar,15.922283010639706,-2.8737291300029097
2024-12-03,Obertauern,0.4966822575731311,-9.900725539542044
2024-12-04,Kitzbuehl,17.280929732080136,-0.3129279658447466
2024-12-04,Saalbach,12.723453014553133,2.8881833438214386
2024-12-04,Hochkar,10.546593227505515,-7.788909594696825
2024-12-04,Obertauern,19.310428587482896,-3.6556299703975075
2024-12-05,Kitzbuehl,17.480832040552837,1.1594960181207217
2024-12-05,Saalbach,12.865591019437899,-9.67130555693933
2024-12-05,Hochkar,17.44292118064544,0.5903266539434071
2024-12-05,Obertauern,10.365924468106423,-3.085326660318625
2024-12-06,Kitzbuehl,2.6106243571202303,4.527558638457069
2024-12-06,Saalbach,19.631931513178895,-8.026211869208286
2024-12-06,Hochkar,4.780186530850969,0.10018431107762105
2024-12-06,Obertauern,9.544569327124039,4.699908014544427
2024-12-07,Kitzbuehl,19.406525101851717,4.151270734410923
2024-12-07,Saalbach,10.671301156045976,-5.586533091570004
2024-12-07,Hochkar,18.774564191380488,3.502422874458656
2024-12-07,Obertauern,3.81881974495881,-8.4976016661453
2024-12-08,Kitzbuehl,4.8099041265610865,-6.536672418222555
2024-12-08,Saalbach,16.102524738452,-0.27031588917567007
2024-12-08,Hochkar,19.47415020397185,-1.0962034776016143
2024-12-08,Obertauern,0.09109223929181232,
2024-12-09,Kitzbuehl,7.844524425777126,
2024-12-09,Saalbach,19.891524383832355,-7.8727070160665455
2024-12-09,Hochkar,19.650439253175684,0.14846411769162593
2024-12-09,Obertauern,16.614501292820066,-9.740384389772975
2024-12-10,Kitzbuehl,16.097971070345046,0.6707868182837657
2024-12-10,Saalbach,2.8411181855044076,-8.50453530240647
2024-12-10,Hochkar,13.391351908185172,-0.8368679666886916
2024-12-10,Obertauern,0.7866591398030431,-3.911338989322564
2024-12-11,Kitzbuehl,19.634823121445024,-2.550553631654658
2024-12-11,Saalbach,10.268474694381563,0.4892544211080132
2024-12-11,Hochkar,16.863165057204743,2.3175490544098043
2024-12-11,Obertauern,6.04454901469569,3.569161847774108
2024-12-12,Kitzbuehl,11.103160240588164,-7.259098272830877
2024-12-12,Saalbach,17.761982992372133,-8.698997263471751
2024-12-12,Hochkar,16.95291280149851,1.5717761371857097
2024-12-12,Obertauern,1.638591090714605,-4.198787715205949
2024-12-13,Kitzbuehl,13.828440088516293,-6.991298124919467
2024-12-13,Saalbach,12.81360288739631,4.680126226226882
2024-12-13,Hochkar,14.436064072517363,-0.7317118061542018
2024-12-13,Obertauern,,-1.5669772973651472
2024-12-14,Kitzbuehl,6.167281088792542,-7.105882092124612
2024-12-14,Saalbach,15.95083270425242,4.68593558185699
